1 6.7565 12.732 19.336
2 8.6615 12.71 19.96
3 8.876 12.168 20.628
4 8.4766 12.327 19.369
5 8.5138 12.551 20.268
6 7.9738 11.543 18.955
7 8.1376 11.057 18.805
8 8.3227 11.738 18.79
9 9.7952 10.82 19.477
10 9.508 10.819 19.564
11 8.7748 11.067 20.491
12 7.9978 11.851 19.242
13 9.2563 9.8754 18.267
14 9.0616 11.504 19.142
15 9.5533 10.891 18.516
16 10.607 10.611 18.527
17 10.875 10.759 18.651
18 11.026 11.237 19.132
19 9.8937 10.101 17.683
20 9.1914 9.9583 17.027
21 9.3828 10.096 16.248
22 10.641 10.271 15.411
23 11.806 10.681 15.768
24 11.875 12.307 15.934
25 10.988 12.198 17.407
26 10.176 12.448 16.427
27 9.8868 11.048 16.982
28 11.09 11.52 14.412
29 10.339 11.782 15.681
30 11.129 11.77 14.772
31 11.032 12.21 14.374
32 10.96 13.313 15.613
33 11.381 12.663 14.981
34 9.6022 13.676 14.097
35 10.067 13.15 14.075
36 11.707 12.896 14.335
37 11.859 13.612 13.336
38 11.886 14.343 14.837
39 10.284 14.913 14.724
40 10.203 14.459 14.743
41 10.815 14.319 14.666
42 10.586 13.269 14.375
43 10.847 14.832 13.369
44 11.772 14.731 13.948
45 11.01 15.582 15.104
46 11.35 13.452 15.199
47 11.015 14.789 14.99
48 10.485 13.184 15.256
49 10.459 14.771 13.555
50 10.18 13.702 14.075
51 11.847 14.344 14.78
52 11.867 13.194 15.535
53 11.145 14.339 14.379
54 9.8976 12.879 14.923
55 9.7465 12.056 14.334
56 10.186 13.5 14.676
57 11.196 13.454 14.947
58 10.899 12.203 14.86
59 11.116 12.041 15.154
60 12.185 12.11 14.662
61 12.132 11.747 15.192
62 11.789 11.141 15.934
63 11.288 10.542 13.796
64 12.501 11.283 14.293
65 12.629 11.697 13.268
66 13.345 11.054 13.84
67 11.895 10.2 14.726
68 13.036 10.318 14.506
69 12.643 10.731 15.084
70 12.687 9.9161 13.829
71 12.29 9.9636 12.913
72 13.95 11.323 12.161
73 13.409 11.475 13.304
74 13.256 10.926 13.433
75 13.228 9.8065 14.033
76 12.736 10.392 13.194
77 13.583 11.258 12.233
78 14.78 10.299 12.223
79 15.029 10.244 10.551
80 15.376 11.639 11.591
81 14.357 11.992 11.215
82 14.082 10.765 12.321
83 14.029 10.285 10.762
84 14.755 10.606 9.2904
85 15.095 12.461 9.1986
86 14.022 12.149 10.089
87 14.372 11.858 10.549
88 14.335 12.033 10.4
89 14.779 12.91 9.4117
90 14.453 13.115 9.9682
91 13.802 12.851 8.2339
92 14.152 14.202 8.4471
93 14.364 14.068 7.972
94 14.666 13.561 8.9274
95 15.204 14.813 9.2696
96 14.961 13.461 9.0291
97 13.898 15 8.9393
98 14.664 14.952 8.8596
99 14.678 15.645 7.7285
100 13.79 14.642 7.3547
101 13.922 15.258 8.5896
102 13.287 15.645 9.2894
103 14.459 16.167 9.6797
104 13.059 14.184 9.2446
105 13.974 14.766 7.8855
106 14.328 14.777 7.03
107 14.312 16.543 8.2293
108 13.449 14.972 8.8438
109 12.633 14.701 8.5138
110 13.633 15.535 9.4156
111 13.046 14.945 9.507
112 13.038 14.789 8.8911
113 13.576 15.74 8.6965
114 13.767 14.36 8.1506
115 14.08 14.301 9.6046
116 13.846 15.767 9.0587
117 12.744 14.613 10.545
118 12.403 15.128 9.2364
119 12.475 13.421 8.8841
120 14.238 15.021 8.4482
121 13.638 14.485 8.3918
122 14.408 13.934 10.127
123 13.571 13.018 9.2206
124 13.899 12.924 9.1653
125 13.686 12.191 8.4226
126 14.35 12.061 8.4155
127 14.401 13.36 7.7005
128 13.971 14.15 8.9629
129 15.284 13.698 8.2804
130 13.968 12.131 9.7025
131 14.974 13.457 9.4992
132 14.988 11.651 8.0712
133 14.109 13.235 8.3519
134 15.282 12.481 6.72
135 14.64 13.897 7.8817
136 14.288 13.311 7.9437
137 15.964 13.15 8.6285
138 14.223 12.946 7.498
139 14.739 12.69 6.6295
140 15.472 13.009 6.0317
141 14.488 13.403 6.0901
142 14.997 14.231 5.7917
143 15.915 13.495 5.9747
144 15.196 14.151 5.736
145 14.495 15.128 6.499
146 14.252 14.419 5.131
147 15.114 15.554 5.49
148 14.041 14.542 4.1322
149 14.236 15.305 4.7946
150 15.993 16.715 5.4871
151 15.588 16.719 6.4925
152 14.067 16.994 4.6792
153 13.198 15.669 4.9456
154 13.699 16.268 5.1672
155 14.534 17.417 4.2224
156 15.169 18.362 4.3358
157 14.403 17.642 5.636
158 14.105 18.038 4.9467
159 13.133 18.121 4.7659
160 12.711 18.343 6.3125
161 12.035 18.695 4.2083
162 13.003 18.218 4.0406
163 14.2 19.11 5.1764
164 12.944 19.368 6.6026
165 12.527 18.658 5.2755
166 11.715 18.747 6.3312
167 12.333 18.739 6.8972
168 12.145 17.754 6.7123
169 13.1 18.176 5.3058
170 11.882 18.838 6.035
171 13.103 18.239 7.5778
172 11.903 18.491 7.13
173 12.252 18.839 7.7872
174 10.858 18.303 7.163
175 12.211 17.421 6.7923
176 11.603 17.027 6.8474
177 12.772 18.331 7.6376
178 11.752 18.335 7.7952
179 12.188 17.472 8.7529
180 11.621 18.023 8.6049
181 11.864 16.894 8.2501
182 10.643 16.791 7.8872
183 10.975 17.729 8.8593
184 12.106 16.627 7.4318
185 12.229 16.474 8.5032
186 12.65 17.349 9.9052
187 11.787 16.944 9.9444
188 11.419 16.632 7.8509
189 11.143 16.134 7.4214
190 11.616 17.093 7.9632
